"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"gy-evac.nlogo"
"pop"
"11/21/2024 20:51:51:212 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","over-break-p","terminate-evac-distance-km","initial-people","max-walking-distance-km","warning-interval-time-mins","evacuation-probability","tick-time-in-mins","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","0","0","0","0","0","0","0","0"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","1","1","255","0","314","0","314","1.231372549019608"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","2","2","255","0","314","0","314","1.231372549019608"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","3","3","255","0","314","0","314","1.231372549019608"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","4","4","255","0","314","0","314","1.231372549019608"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","5","5","255","0","314","0","314","1.231372549019608"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","6","6","255","0","314","0","314","1.231372549019608"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","7","7","250","0","308","6","308","1.232"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","8","8","247","0","304","10","304","1.2307692307692308"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","9","9","246","0","302","12","302","1.2276422764227641"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","10","10","243","0","297","17","297","1.2222222222222223"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","11","11","239","0","292","22","292","1.2217573221757323"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","12","12","238","0","291","23","291","1.2226890756302522"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","13","13","238","0","291","23","291","1.2226890756302522"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","14","14","236","0","289","25","289","1.2245762711864407"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","15","15","232","0","285","29","285","1.228448275862069"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","16","16","232","0","285","29","285","1.228448275862069"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","17","17","231","0","284","30","284","1.2294372294372293"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","18","18","228","0","280","34","280","1.2280701754385965"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","19","19","226","0","278","36","278","1.2300884955752212"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","20","20","225","0","276","38","276","1.2266666666666666"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","21","21","224","0","275","39","275","1.2276785714285714"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","22","22","223","0","273","41","273","1.2242152466367713"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","23","23","223","0","273","41","273","1.2242152466367713"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","24","24","222","0","272","42","272","1.2252252252252251"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","25","25","222","0","272","42","272","1.2252252252252251"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","26","26","222","0","272","42","272","1.2252252252252251"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","27","27","221","0","271","43","271","1.2262443438914028"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","28","28","220","0","270","44","270","1.2272727272727273"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","29","29","219","0","269","45","269","1.2283105022831051"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","30","30","218","0","268","46","268","1.2293577981651376"
"1","0.06","0.3","1000","0.3","30","0.3","0.25","31","31","216","0","265","49","265","1.2268518518518519"
