"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"gy-evac.nlogo"
"3d"
"11/25/2024 19:17:04:539 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10"
"terminate-evac-distance-km","0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,
"initial-people","5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,,"5000",,,,,,,
"max-walking-distance-km","1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,,"1",,,,,,,
"warning-interval-time-mins","30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,,"30",,,,,,,
"evacuation-probability","0.1",,,,,,,,"0.2",,,,,,,,"0.3",,,,,,,,"0.4",,,,,,,,"0.5",,,,,,,,"0.6",,,,,,,,"0.7",,,,,,,,"0.8",,,,,,,,"0.9",,,,,,,,"1",,,,,,,
"tick-time-in-mins","0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,,"0.3",,,,,,,
"over-break-probability","0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,,"0.06",,,,,,,
"[reporter]","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"[final]","8511","8511","1","0","1","4991","1","1","4308","4308","1","0","1","4992","1","1","3208","3208","1","0","1","4991","1","1","2770","2770","1","0","1","4991","1","1","2466","2466","1","0","1","4995","1","1","2194","2194","1","0","1","4995","1","1","1855","1855","2","0","2","4991","2","1","1684","1684","3","0","4","4991","4","1.3333333333333333","1520","1520","3","0","7","4990","7","2.3333333333333335","1172","1172","3","0","15","4980","15","5"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","8511","8511","774","56","896","4991","870","1.298913043478261","4308","4308","1327","116","1721","4992","1687","1.6914414414414414","3208","3208","1550","172","2383","4991","2332","2.046280991735537","2770","2770","1492","204","2682","4991","2607","2.5514950166112955","2466","2466","1551","244","3097","4995","3016","2.7862694300518136","2194","2194","1441","332","3341","4995","3209","3.1107226107226107","1855","1855","1356","371","3638","4991","3516","3.380894800483676","1684","1684","1325","362","4005","4991","3784","3.5687150837988826","1520","1520","1279","459","4490","4990","4031","3.6170431211498975","1172","1172","1212","508","4990","4980","4482","5"
"[mean]","4255.5","4255.5","159.17774906015038","1.0691964285714286","180.09187030075188","4276.065554511279","179.02267387218046","0.5139109185366784","2154","2154","555.965421211418","2.137386864701787","679.88767695521","3850.2919470874913","677.7502900905082","1.0042522990661291","1604","1604","656.1617326269866","2.984418822062948","897.7064506076659","3731.129947023995","894.722031785603","1.2754216783013388","1385","1385","620.4215084806929","3.2208588957055215","967.121977625406","3750.792132804042","963.9011187297004","1.4028185995010747","1233","1233","603.1187677340899","3.6027563842723955","1043.6635589785164","3746.257802999595","1040.060802594244","1.5143152123223917","1097","1097","553.7867881548975","4.611845102505694","1055.4332574031891","3786.308883826879","1050.8214123006833","1.6238632002273268","927.5","927.5","513.4752155172414","5.213362068965517","1131.4256465517242","3745.1988146551726","1126.2122844827586","1.8235232314403207","842","842","499.9584569732938","4.718100890207715","1264.3477744807121","3655.7590504451036","1259.6296735905044","2.1186151139008125","760","760","465.21433267587116","5.920447074293228","1340.0894148586456","3617.5305719921103","1334.1689677843524","2.485163970305558","586","586","415.1091219096334","7.494458653026428","1544.9855072463768","3445.7561807331626","1537.4910485933503","3.733502221573281"
