"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"gy-evac.nlogo"
"tick_res_0.3"
"11/25/2024 20:07:32:102 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","1"
"terminate-evac-distance-km","0.3",,,,,,,
"initial-people","15000",,,,,,,
"max-walking-distance-km","1",,,,,,,
"warning-interval-time-mins","30",,,,,,,
"evacuation-probability","0.3",,,,,,,
"tick-time-in-mins","0.3",,,,,,,
"over-break-probability","0",,,,,,,
"[reporter]","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
"[final]","6584","6584","1","0","3","14984","3","3"
"[min]","0","0","0","0","0","0","0","0"
"[max]","6584","6584","3827","491","9026","14984","8918","3.6375838926174495"
"[mean]","3292","3292","1491.7515565679576","4.191192103264997","2955.3362186788154","11502.599696279423","2951.1450265755507","1.7090593677410393"
"[total steps]","6584","6584","6584","6584","6584","6584","6584","6584"

"[all run data]","[step]","ticks","get-no-active-cars","get-no-walking","get-no-evacuating","get-no-evacuated","get-no-in-cars","get-avg-no-people-per-car"
,"0","0","0","0","0","0","0","0"
,"1","1","1112","491","4526","14","4035","3.6285971223021583"
,"2","2","1112","480","4515","25","4035","3.6285971223021583"
,"3","3","1112","467","4502","38","4035","3.6285971223021583"
,"4","4","1112","464","4499","41","4035","3.6285971223021583"
,"5","5","1112","464","4499","41","4035","3.6285971223021583"
,"6","6","1112","450","4485","55","4035","3.6285971223021583"
,"7","7","1111","438","4468","72","4030","3.627362736273627"
,"8","8","1111","438","4468","72","4030","3.627362736273627"
,"9","9","1110","438","4464","76","4026","3.627027027027027"
,"10","10","1110","424","4450","90","4026","3.627027027027027"
,"11","11","1110","409","4435","105","4026","3.627027027027027"
,"12","12","1109","374","4395","145","4021","3.625788999098287"
,"13","13","1108","359","4378","162","4019","3.6272563176895307"
,"14","14","1108","348","4367","173","4019","3.6272563176895307"
,"15","15","1106","348","4360","180","4012","3.62748643761302"
,"16","16","1105","326","4335","205","4009","3.628054298642534"
,"17","17","1105","306","4315","225","4009","3.628054298642534"
,"18","18","1103","285","4288","252","4003","3.629193109700816"
,"19","19","1103","255","4258","282","4003","3.629193109700816"
,"20","20","1098","222","4209","331","3987","3.6311475409836067"
,"21","21","1097","217","4199","341","3982","3.6298997265268915"
,"22","22","1095","170","4145","395","3975","3.6301369863013697"
,"23","23","1094","156","4128","412","3972","3.6307129798903106"
,"24","24","1093","129","4099","441","3970","3.6322049405306496"
,"25","25","1093","118","4088","452","3970","3.6322049405306496"
,"26","26","1089","80","4037","503","3957","3.633608815426997"
,"27","27","1086","36","3982","558","3946","3.6335174953959486"
,"28","28","1083","0","3933","607","3933","3.6315789473684212"
,"29","29","1082","0","3932","608","3932","3.6340110905730127"
,"30","30","1082","0","3932","608","3932","3.6340110905730127"
,"31","31","1079","0","3918","622","3918","3.6311399443929564"
,"32","32","1078","0","3917","623","3917","3.6335807050092765"
,"33","33","1076","0","3907","633","3907","3.6310408921933086"
,"34","34","1074","0","3901","639","3901","3.6322160148975793"
,"35","35","1074","0","3901","639","3901","3.6322160148975793"
,"36","36","1072","0","3891","649","3891","3.6296641791044775"
,"37","37","1070","0","3885","655","3885","3.630841121495327"
,"38","38","1067","0","3875","665","3875","3.6316776007497658"
,"39","39","1066","0","3872","668","3872","3.6322701688555346"
,"40","40","1063","0","3857","683","3857","3.628410159924741"
,"41","41","1062","0","3856","684","3856","3.6308851224105463"
,"42","42","1056","0","3835","705","3835","3.631628787878788"
,"43","43","1053","0","3824","716","3824","3.6315289648622984"
,"44","44","1052","0","3819","721","3819","3.6302281368821294"
